codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,fuente,estimado
05842,Uramita,Nutibara,2004-2006,2004,2006,No Bosque Estable,21966.12,10983.06,shapefile,False
05847,Urrao,Urrao,2004-2006,2004,2006,Bosque Estable,168299.74,84149.87,shapefile,False
05847,Urrao,Urrao,2004-2006,2004,2006,Deforestación,309.31,154.66,shapefile,False
05847,Urrao,Urrao,2004-2006,2004,2006,No Bosque Estable,78174.69,39087.34,shapefile,False
05847,Urrao,Urrao,2004-2006,2004,2006,Sin Información,7478.39,3739.2,shapefile,False
05873,Vigía del Fuerte,Atrato,2004-2006,2004,2006,Bosque Estable,141486.91,70743.46,shapefile,False
05873,Vigía del Fuerte,Atrato,2004-2006,2004,2006,Deforestación,101.31,50.66,shapefile,False
05873,Vigía del Fuerte,Atrato,2004-2006,2004,2006,No Bosque Estable,15595.69,7797.84,shapefile,False
05873,Vigía del Fuerte,Atrato,2004-2006,2004,2006,Sin Información,8258.54,4129.27,shapefile,False
05004,Abriaquí,Nutibara,2006-2008,2006,2008,Bosque Estable,13394.75,6697.38,shapefile,False
05004,Abriaquí,Nutibara,2006-2008,2006,2008,Deforestación,1.47,0.74,shapefile,False
05004,Abriaquí,Nutibara,2006-2008,2006,2008,No Bosque Estable,16266.78,8133.39,shapefile,False
05045,Apartadó,Centro,2006-2008,2006,2008,Bosque Estable,17510.36,8755.18,shapefile,False
05045,Apartadó,Centro,2006-2008,2006,2008,Deforestación,199.72,99.86,shapefile,False
05045,Apartadó,Centro,2006-2008,2006,2008,No Bosque Estable,35442.98,17721.49,shapefile,False
05045,Apartadó,Centro,2006-2008,2006,2008,Sin Información,128.05,64.03,shapefile,False
05051,Arboletes,Caribe,2006-2008,2006,2008,Bosque Estable,984.1,492.05,shapefile,False
05051,Arboletes,Caribe,2006-2008,2006,2008,Deforestación,82.77,41.38,shapefile,False
05051,Arboletes,Caribe,2006-2008,2006,2008,No Bosque Estable,72998.35,36499.18,shapefile,False
05147,Carepa,Centro,2006-2008,2006,2008,Bosque Estable,6381.94,3190.97,shapefile,False
05147,Carepa,Centro,2006-2008,2006,2008,Deforestación,122.76,61.38,shapefile,False
05147,Carepa,Centro,2006-2008,2006,2008,No Bosque Estable,31739.7,15869.85,shapefile,False
05147,Carepa,Centro,2006-2008,2006,2008,Sin Información,118.91,59.46,shapefile,False
05138,Cañasgordas,Nutibara,2006-2008,2006,2008,Bosque Estable,11869.18,5934.59,shapefile,False
05138,Cañasgordas,Nutibara,2006-2008,2006,2008,Deforestación,21.57,10.78,shapefile,False
05138,Cañasgordas,Nutibara,2006-2008,2006,2008,No Bosque Estable,24554.38,12277.19,shapefile,False
05172,Chigorodó,Centro,2006-2008,2006,2008,Bosque Estable,20543.72,10271.86,shapefile,False
05172,Chigorodó,Centro,2006-2008,2006,2008,Deforestación,138.08,69.04,shapefile,False
05172,Chigorodó,Centro,2006-2008,2006,2008,No Bosque Estable,49585.13,24792.56,shapefile,False
05172,Chigorodó,Centro,2006-2008,2006,2008,Sin Información,194.96,97.48,shapefile,False
05234,Dabeiba,Nutibara,2006-2008,2006,2008,Bosque Estable,142811.72,71405.86,shapefile,False
05234,Dabeiba,Nutibara,2006-2008,2006,2008,Deforestación,174.58,87.29,shapefile,False
05234,Dabeiba,Nutibara,2006-2008,2006,2008,No Bosque Estable,49325.73,24662.86,shapefile,False
05234,Dabeiba,Nutibara,2006-2008,2006,2008,Sin Información,2610.07,1305.04,shapefile,False
05284,Frontino,Nutibara,2006-2008,2006,2008,Bosque Estable,92024.28,46012.14,shapefile,False
05284,Frontino,Nutibara,2006-2008,2006,2008,Deforestación,49.27,24.64,shapefile,False
05284,Frontino,Nutibara,2006-2008,2006,2008,No Bosque Estable,45398.91,22699.46,shapefile,False
05284,Frontino,Nutibara,2006-2008,2006,2008,Sin Información,753.0,376.5,shapefile,False
05306,Giraldo,Nutibara,2006-2008,2006,2008,Bosque Estable,1307.37,653.68,shapefile,False
05306,Giraldo,Nutibara,2006-2008,2006,2008,No Bosque Estable,8023.78,4011.89,shapefile,False
05306,Giraldo,Nutibara,2006-2008,2006,2008,Sin Información,0.85,0.42,shapefile,False
05475,Murindó,Atrato,2006-2008,2006,2008,Bosque Estable,105886.42,52943.21,shapefile,False
05475,Murindó,Atrato,2006-2008,2006,2008,Deforestación,66.4,33.2,shapefile,False
05475,Murindó,Atrato,2006-2008,2006,2008,No Bosque Estable,14487.07,7243.54,shapefile,False
05475,Murindó,Atrato,2006-2008,2006,2008,Regeneración,3.35,1.68,shapefile,False
05475,Murindó,Atrato,2006-2008,2006,2008,Sin Información,4449.41,2224.7,shapefile,False
05480,Mutatá,Centro,2006-2008,2006,2008,Bosque Estable,65897.05,32948.52,shapefile,False
05480,Mutatá,Centro,2006-2008,2006,2008,Deforestación,368.77,184.38,shapefile,False
05480,Mutatá,Centro,2006-2008,2006,2008,No Bosque Estable,36327.51,18163.76,shapefile,False
05480,Mutatá,Centro,2006-2008,2006,2008,Sin Información,3294.82,1647.41,shapefile,False
05490,Necoclí,Caribe,2006-2008,2006,2008,Bosque Estable,19409.15,9704.58,shapefile,False
05490,Necoclí,Caribe,2006-2008,2006,2008,Deforestación,397.39,198.7,shapefile,False
05490,Necoclí,Caribe,2006-2008,2006,2008,No Bosque Estable,105203.69,52601.84,shapefile,False
05490,Necoclí,Caribe,2006-2008,2006,2008,Sin Información,1.36,0.68,shapefile,False
05543,Peque,Nutibara,2006-2008,2006,2008,Bosque Estable,14189.38,7094.69,shapefile,False
05543,Peque,Nutibara,2006-2008,2006,2008,Deforestación,5.07,2.54,shapefile,False
05543,Peque,Nutibara,2006-2008,2006,2008,No Bosque Estable,29152.36,14576.18,shapefile,False
05543,Peque,Nutibara,2006-2008,2006,2008,Sin Información,9.3,4.65,shapefile,False
05659,San Juan de Urabá,Caribe,2006-2008,2006,2008,Bosque Estable,231.73,115.86,shapefile,False
05659,San Juan de Urabá,Caribe,2006-2008,2006,2008,Deforestación,1.41,0.7,shapefile,False
05659,San Juan de Urabá,Caribe,2006-2008,2006,2008,No Bosque Estable,24849.3,12424.65,shapefile,False
05665,San Pedro de Urabá,Caribe,2006-2008,2006,2008,Bosque Estable,1470.54,735.27,shapefile,False
05665,San Pedro de Urabá,Caribe,2006-2008,2006,2008,Deforestación,7.36,3.68,shapefile,False
05665,San Pedro de Urabá,Caribe,2006-2008,2006,2008,No Bosque Estable,55037.65,27518.82,shapefile,False
05665,San Pedro de Urabá,Caribe,2006-2008,2006,2008,Sin Información,0.38,0.19,shapefile,False
05837,Turbo,Centro,2006-2008,2006,2008,Bosque Estable,70633.6,35316.8,shapefile,False
05837,Turbo,Centro,2006-2008,2006,2008,Deforestación,711.28,355.64,shapefile,False
