idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
2,Sucio Alto,2002-2004,2002,2004,Sin Información,11.69,5.84,17,shp:geometria,True,geometria_metrica
2,Sucio Alto,2004-2006,2004,2006,Bosque Estable,90133.77,45066.89,3011,shp:geometria,True,geometria_metrica
2,Sucio Alto,2004-2006,2004,2006,Deforestación,90.95,45.48,81,shp:geometria,True,geometria_metrica
2,Sucio Alto,2004-2006,2004,2006,No Bosque Estable,127041.48,63520.74,2009,shp:geometria,True,geometria_metrica
2,Sucio Alto,2004-2006,2004,2006,Sin Información,2.81,1.41,3,shp:geometria,True,geometria_metrica
2,Sucio Alto,2006-2008,2006,2008,Bosque Estable,89998.01,44999.0,3505,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2006-2008,2006,2008,Deforestación,94.48,47.24,80,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2006-2008,2006,2008,No Bosque Estable,127093.75,63546.88,2427,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2006-2008,2006,2008,Sin Información,23.46,11.73,41,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2008-2010,2008,2010,Bosque Estable,90404.36,45202.18,3087,shp:geometria,True,geometria_metrica
2,Sucio Alto,2008-2010,2008,2010,Deforestación,53.78,26.89,49,shp:geometria,True,geometria_metrica
2,Sucio Alto,2008-2010,2008,2010,No Bosque Estable,126737.24,63368.62,2097,shp:geometria,True,geometria_metrica
2,Sucio Alto,2008-2010,2008,2010,Sin Información,73.63,36.81,42,shp:geometria,True,geometria_metrica
2,Sucio Alto,2015-2016,2015,2016,Bosque Estable,91135.31,91135.31,3351,shp:geometria,True,geometria_metrica
2,Sucio Alto,2015-2016,2015,2016,Deforestación,137.39,137.39,67,shp:geometria,True,geometria_metrica
