periodo,ano_inicio,ano_fin,consejo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2016-2017,2016,2017,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1453.59,1453.59,142,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por La Identidad Cultural,Sin Información,651.41,651.41,67,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9468.23,9468.23,256,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,4.69,4.69,9,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24334.53,24334.53,417,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,4.06,4.06,6,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Los Mangos,Bosque Estable,4.07,4.07,1,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario de Los Mangos,No Bosque Estable,360.57,360.57,1,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Manatíes,Bosque Estable,3629.22,3629.22,10,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Manatíes,Deforestación,7.85,7.85,13,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Manatíes,No Bosque Estable,760.2,760.2,23,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,137154.65,137154.65,295,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,113.02,113.02,69,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,37188.58,37188.58,970,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Mayor del Medio Atrato - ACIA,Regeneración,9.09,9.09,23,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,313.21,313.21,72,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6293.36,6293.36,60,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por El Desarrollo Integral,Deforestación,52.56,52.56,23,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3638.73,3638.73,86,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por El Desarrollo Integral,Regeneración,6.17,6.17,20,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por El Desarrollo Integral,Sin Información,24.65,24.65,8,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10872.9,10872.9,18,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por La Identidad Cultural,Deforestación,29.17,29.17,24,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1553.61,1553.61,87,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por La Identidad Cultural,Regeneración,2.34,2.34,11,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario Por La Identidad Cultural,Sin Información,46.92,46.92,4,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9318.53,9318.53,121,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24493.64,24493.64,303,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario de Los Mangos,Bosque Estable,3.89,3.89,1,shapefile,geometria
2017-2018,2017,2018,Consejo Comunitario de Los Mangos,No Bosque Estable,360.75,360.75,1,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Manatíes,Bosque Estable,3442.22,3442.22,14,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Manatíes,Deforestación,26.94,26.94,3,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Manatíes,No Bosque Estable,928.11,928.11,33,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,135991.5,135991.5,394,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,98.55,98.55,62,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,37953.25,37953.25,1028,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,734.88,734.88,180,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6203.95,6203.95,65,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por El Desarrollo Integral,Deforestación,45.21,45.21,24,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3766.15,3766.15,96,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por El Desarrollo Integral,Sin Información,0.14,0.14,3,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10797.54,10797.54,24,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por La Identidad Cultural,Deforestación,12.32,12.32,13,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1695.09,1695.09,97,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9318.53,9318.53,121,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,24493.27,24493.27,299,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,0.37,0.37,4,shapefile,geometria
2019-2020,2019,2020,Consejo Comunitario de Los Mangos,Bosque Estable,3.89,3.89,1,shapefile,geometria
